function	data_type	plm	reduction	layer	output_dir	gpus	gres	mem-per-cpu
extract_embeddings	aav	progen2-small	eos	first	$SCRATCH	1	20g	12g
extract_embeddings	aav	progen2-small	eos	middle	$SCRATCH	1	20g	12g
extract_embeddings	aav	progen2-small	eos	last	$SCRATCH	1	20g	12g
extract_embeddings	aav	progen2-medium	eos	first	$SCRATCH	1	20g	12g
extract_embeddings	aav	progen2-medium	eos	middle	$SCRATCH	1	20g	12g
extract_embeddings	aav	progen2-medium	eos	last	$SCRATCH	1	20g	12g
extract_embeddings	aav	progen2-xlarge	eos	first	$SCRATCH	1	60g	80g
extract_embeddings	aav	progen2-xlarge	eos	middle	$SCRATCH	1	60g	80g
extract_embeddings	aav	progen2-xlarge	eos	last	$SCRATCH	1	60g	80g
extract_embeddings	gb1	progen2-small	eos	first	$SCRATCH	1	20g	12g
extract_embeddings	gb1	progen2-small	eos	middle	$SCRATCH	1	20g	12g
extract_embeddings	gb1	progen2-small	eos	last	$SCRATCH	1	20g	12g
extract_embeddings	gb1	progen2-medium	eos	first	$SCRATCH	1	20g	12g
extract_embeddings	gb1	progen2-medium	eos	middle	$SCRATCH	1	20g	12g
extract_embeddings	gb1	progen2-medium	eos	last	$SCRATCH	1	20g	12g
extract_embeddings	gb1	progen2-xlarge	eos	first	$SCRATCH	1	60g	80g
extract_embeddings	gb1	progen2-xlarge	eos	middle	$SCRATCH	1	60g	80g
extract_embeddings	gb1	progen2-xlarge	eos	last	$SCRATCH	1	60g	80g
