function	ft_method	target_layers	data_type	split	plm	head	task	head_config	layer	reduction	output_dir	gpus	gres	mem-per-cpu	nodes	run_time	experimenting
fine_tuning	lora	all	aav	one_vs_many	proteinbert	linear	regression	lora_linear_head_config.json	first	mean	/cluster/scratch/estamkopoulo/computational_analysis	1	a100-pcie-40gb	10g	1	4	True
fine_tuning	lora	all	aav	one_vs_many	proteinbert	linear	regression	lora_linear_head_config.json	quarter1	mean	/cluster/scratch/estamkopoulo/computational_analysis	1	a100-pcie-40gb	10g	1	4	True
fine_tuning	lora	all	aav	one_vs_many	proteinbert	linear	regression	lora_linear_head_config.json	middle	mean	/cluster/scratch/estamkopoulo/computational_analysis	1	a100-pcie-40gb	10g	1	4	True
fine_tuning	lora	all	aav	one_vs_many	proteinbert	linear	regression	lora_linear_head_config.json	quarter3	mean	/cluster/scratch/estamkopoulo/computational_analysis	1	a100-pcie-40gb	10g	1	4	True
fine_tuning	lora	all	aav	one_vs_many	proteinbert	linear	regression	lora_linear_head_config.json	last	mean	/cluster/scratch/estamkopoulo/computational_analysis	1	a100-pcie-40gb	10g	1	4	True
fine_tuning	lora	all	aav	one_vs_many	progen2-small	linear	regression	lora_linear_head_config.json	first	mean	/cluster/scratch/estamkopoulo/computational_analysis	1	a100-pcie-40gb	10g	1	4	True
fine_tuning	lora	all	aav	one_vs_many	progen2-small	linear	regression	lora_linear_head_config.json	quarter1	mean	/cluster/scratch/estamkopoulo/computational_analysis	1	a100-pcie-40gb	10g	1	4	True
fine_tuning	lora	all	aav	one_vs_many	progen2-small	linear	regression	lora_linear_head_config.json	middle	mean	/cluster/scratch/estamkopoulo/computational_analysis	1	a100-pcie-40gb	10g	1	4	True
fine_tuning	lora	all	aav	one_vs_many	progen2-small	linear	regression	lora_linear_head_config.json	quarter3	mean	/cluster/scratch/estamkopoulo/computational_analysis	1	a100-pcie-40gb	10g	1	4	True
fine_tuning	lora	all	aav	one_vs_many	progen2-small	linear	regression	lora_linear_head_config.json	last	mean	/cluster/scratch/estamkopoulo/computational_analysis	1	a100-pcie-40gb	10g	1	4	True
